CLOSED
Version	1.0
Language	English
Run	1
RunSerial	822
Instrument	TGA Q500 V6.7 Build 203
Module	TGA
InstSerial	0500-0499
Operator	at615
File	C:\TA\Data\TGA\ak794\anders\ZIF8cellulose rods sample2.001
FurnaceType	Standard
Sample	ZIF8 cellulose rods in air s2
Size	1.91300	mg
ProcName
Method	
Comment	
Xcomment	Pan: Platinum
Xcomment	Gas1: Air
Xcomment	Gas2: Air
Xcomment	Balance Gas: Air 40.0 ml/min
Xcomment	Sample Gas: Air 60.0 ml/min
Text	Cellulose rods and zif8 degradation in air. Sample 2
Kcell	1.00000
TempCal	3	pts	20.00	20.00,364.00	356.00,776.00	770.00
InstCalDate	Weight Date 2013-03-01 10:10:44
Controls	Gas 2  Event Off  Sampling 2.0
Nsig	5
Sig1	Time (min)
Sig2	Temperature (°C)
Sig3	Weight (mg)
Sig4	Balance Purge Flow (mL/min)
Sig5	Sample Purge Flow (mL/min)
AirCoolTime	20.0 min
AutoAnalysis	Off
MacroFile
Date	2013-03-11
Time	16:25:15
3.350000 48.12930 1.914059 40.00305 60.00102
3.383334 48.45634 1.914142 40.00260 60.00488
3.416667 48.78182 1.914127 39.98978 59.99394
3.450000 49.10954 1.914019 40.00170 60.00634
3.483333 49.43566 1.913879 39.99774 60.00032
3.516667 49.76300 1.913856 40.00832 60.00746
3.550000 50.08890 1.913778 40.00221 59.98745
3.583333 50.41597 1.913572 39.99005 60.01415
3.616666 50.74484 1.913956 40.00739 59.98548
3.650000 51.07358 1.914042 39.99075 60.00335
3.683334 51.40044 1.913694 39.99870 60.00606
3.716667 51.72844 1.913622 40.00394 60.00054
3.750000 52.05758 1.913628 40.00031 59.99050
3.783333 52.38506 1.913556 39.99600 60.00463
3.816666 52.71285 1.913527 40.00368 59.99885
3.850000 53.04290 1.913498 40.00446 59.99703
3.883334 53.37178 1.913350 40.00576 60.01110
3.916667 53.70029 1.913807 39.99578 59.98550
3.950000 54.03092 1.913606 39.99536 60.02119
3.983333 54.35950 1.913281 40.00048 59.98069
4.016667 54.68878 1.912598 40.00739 60.00622
4.050000 55.01771 1.912447 40.00144 59.99889
4.083334 55.34812 1.912661 39.99248 59.99822
4.116667 55.67870 1.912726 39.99864 60.00460
4.150000 56.00795 1.912553 39.99477 59.99420
4.183334 56.33774 1.912687 40.01002 59.99652
4.216667 56.66761 1.912708 39.99867 60.00644
4.250000 56.99824 1.912373 40.00113 60.00292
4.283333 57.32837 1.912280 39.99213 59.99502
4.316666 57.65863 1.912361 40.00030 59.99610
