CLOSED
Version	1.0
Language	English
Run	1
RunSerial	821
Instrument	TGA Q500 V6.7 Build 203
Module	TGA
InstSerial	0500-0499
Operator	at615
File	C:\TA\Data\TGA\ak794\anders\ZIF8cellulosesponge1.001
FurnaceType	Standard
Sample	ZIF8 cellulose sponge in air 1
Size	5.56500	mg
ProcName
Method	
Comment	
Xcomment	Pan: Platinum
Xcomment	Gas1: Air
Xcomment	Gas2: Air
Xcomment	Balance Gas: Air 40.0 ml/min
Xcomment	Sample Gas: Air 60.0 ml/min
Text	Cellulose sponge and zif8 degradation in air
Kcell	1.00000
TempCal	3	pts	20.00	20.00,364.00	356.00,776.00	770.00
InstCalDate	Weight Date 2013-03-01 10:10:44
Controls	Gas 2  Event Off  Sampling 2.0
Nsig	5
Sig1	Time (min)
Sig2	Temperature (°C)
Sig3	Weight (mg)
Sig4	Balance Purge Flow (mL/min)
Sig5	Sample Purge Flow (mL/min)
AirCoolTime	20.0 min
AutoAnalysis	Off
MacroFile
Date	2013-03-11
Time	13:44:24
2.816666 42.07258 5.513734 39.99880 60.01560
2.850000 42.39584 5.513369 40.01063 59.99001
2.883334 42.71902 5.513012 39.99794 59.99666
2.916667 43.04227 5.512737 40.00216 60.00289
2.950000 43.36584 5.512352 39.99072 60.00946
2.983334 43.69052 5.511778 40.01361 59.98956
3.016666 44.01528 5.511204 39.97625 60.01548
3.050000 44.33859 5.510680 40.00500 59.99853
3.083333 44.66361 5.510224 39.99866 59.99032
3.116666 44.98838 5.509930 40.01002 59.99634
3.150000 45.31291 5.509639 40.00480 60.00590
3.183334 45.63835 5.509290 39.98355 60.00952
3.216667 45.96372 5.508831 40.01836 60.00031
3.250000 46.28994 5.508824 40.00208 59.98848
3.283333 46.61608 5.508906 40.00113 60.00672
3.316666 46.94169 5.508522 39.98588 60.00343
3.350000 47.26758 5.508049 39.99376 59.99668
3.383334 47.59439 5.507766 40.02041 59.98894
3.416667 47.92008 5.507392 40.00008 59.99491
3.450000 48.24666 5.507074 39.99924 60.00891
3.483333 48.57302 5.506529 39.97890 60.00940
3.516667 48.89981 5.506250 40.00730 59.99560
3.550000 49.22656 5.505957 40.00197 59.99138
3.583333 49.55628 5.505503 40.00325 60.00242
3.616666 49.88233 5.505222 39.99624 60.01404
3.650000 50.21028 5.504800 40.00914 59.98438
3.683334 50.53842 5.504700 39.98735 60.00660
3.716667 50.86660 5.504350 40.00319 59.98723
3.750000 51.19363 5.503968 40.00527 60.00220
3.783333 51.52272 5.503693 39.99846 60.00644
3.816666 51.85166 5.503434 39.99752 59.99120
3.850000 52.17954 5.503175 40.00447 60.01584
3.883334 52.50954 5.503010 39.99648 59.99430
3.916667 52.83829 5.502884 40.00560 60.00121
3.950000 53.16846 5.503280 39.99110 59.99780
3.983333 53.49970 5.503374 40.00306 60.00814
4.016667 53.82900 5.502979 40.00602 59.99490
4.050000 54.15729 5.502074 39.98960 60.00149
4.083334 54.48599 5.501906 40.00646 59.99770
4.116667 54.81761 5.501694 40.00116 60.00540
4.150000 55.14826 5.501574 39.99280 59.99726
4.183334 55.47683 5.501331 40.01058 59.99154
4.216667 55.80660 5.501052 39.99764 60.00168
4.250000 56.13820 5.500662 39.99232 60.00701
4.283333 56.46709 5.500284 40.01495 60.00620
4.316666 56.79720 5.500063 39.98606 59.98688
4.350000 57.12816 5.499785 40.00196 60.00642
4.383333 57.45826 5.499794 39.99581 59.99600
4.416666 57.79100 5.499734 40.00150 60.00004
